name,website,company_size,industry,headquarters_city,headquarters_country,type,year_founded,followers,about_us,Lang_1,Lang_2,Lang_3,Lang_4,Lang_5,Projects in their portfolio,rating,review_count,service_1,service_2,service_3,service_4,service_5,service_6,service_7,service_8,service_9,service_10,service_11,service_12,service_13,service_14,service_15,service_16,service_17,service_18,service_19,service_20,service_21,service_22,service_23,service_24
MSL UK,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Emslgroup%2Eco%2Euk&urlhash=_UIJ&trk=about_website,125.5,Advertising Services,London,England,Privately Held,1989.0,0,"We’re a creative communications agency helping clients drive impact in a connected world. 

We help brands connect the key drivers of PR, Social & Influencer Marketing, Sustainability, Employer Brand, Attraction and Engagement.

Our 100-strong team creates stories, content and experiences that positively influence the way corporate stakeholders, employees, and consumers think and behave. 

As part of the global MSL network we have more than 3,500 colleagues worldwide. MSL is Publicis Groupe's global public relations and integrated communications partner that provides clients with strategic counsel and creative thinking.",,,,,,,,,public relations,branding,corporate reporting,graduate & recruitment marketing,content marketing,corporate & digital & employee communications,seo,public relations,stakeholder engagement,strategic communications,web & app development,social media,digital,communications,employee engagement,crisis & issues management,influencer marketing,media relations,,,,,,
TodayMade,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Etodaymade%2Ecom%2F&urlhash=aSXc&trk=about_website,125.5,Graphic Design,Coquitlam,British Columbia,Self-Owned,2023.0,68,"TodayMade is a top choice of marketing leaders at technology companies. Exceed your team's expectations with excellent creative and impressive marketing results. Plus, get more work done in less time – hassle-free. 

✔ eBooks, websites, presentations – you name it 
✔ We only need 24-48 hours to get your designs delivered 
✔ Managing projects will be a breeze on your end 
✔ High-quality creative for high-performing campaigns 
✔ Your CEO will be pleased when they see our invoice 

Looking to find out more? 
Get in touch → https://www.todaymade.com/contact-us",,,,,,,,,social media design,graphic design,advertising design,,,,,,,,,,,,,,,,,,,,,
GOOD Agency,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Egoodagency%2Eco%2Euk&urlhash=1CkT&trk=about_website,125.5,Advertising Services,London,England,Privately Held,1989.0,25332,"GOOD is a purpose-driven strategy and creative agency. 

We work with brands and not-for-profits to create a shared vision of a better world. One that’s fairer, greener and more prosperous.

GOOD was established almost 30 years ago with a vision to help organisations create a better world. Today, we continue to be an independent purpose-driven agency delivering strategy and creative services to some of the world’s largest brands and charities.

We are driven by our passion to use brilliant communication to create positive social and environmental change. Our work has helped raise over £1.5billion for charities and has transformed international businesses through Purpose.

We are an employee-owned company and take pride in being the UK’s highest-ranking B-Corp creative agency.

To get in touch, call 020 7738 1900 or email hello@goodagency.co.uk.",,,,,,,,,fundraising,design,brand,content,communication,social,digital,campaigning,,,,,,,,,,,,,,,,
&Walsh,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fandwalsh%2Ecom&urlhash=mL_2&trk=about_website,30.5,Graphic Design,,,Privately Held,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoProtoz - UI UX Design Studio,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Egoprotoz%2Ecom&urlhash=f1PB&trk=about_website,125.5,Design Services,Bangalore,Karnataka_India,Privately Held,2015.0,97432,"Goprotoz is one of the top UX UI design company operating in India, the USA , Germany and Dubai.

Profile:

10+ Years in UX UI Design Business
500+ Projects delivered worldwide 
100+ In House Designers and Developers
 
Feautured Clients:

Sony, Nissan, ICICI, Paytm Money, Tata, ITC, Mahindra, Emaar, Eatfit, Licious and many more Fortune companies to startups.

Services :

UX UI Design
UX Research
Web and Mobile App Design
Web and Mobile App Development 

Industries:

E-Commerce & Retail
Edtech & E- Learning
IT
Banking & Fintech
Healthcare
Automobile
Defense
Media 
Energy 
Goods Service
Hospitality",,,,,,,,,ux design,ui ux design,mobile app design,user experience,interaction design,usability,product design,ux,web design,ui design,ui,visual design,graphic design,app development,web development,,,,,,,,,
Lemon Yellow LLP,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Elemonyellow%2Edesign%2F&urlhash=sqVX&trk=about_website,125.5,Design,Thane,Maharashtra_India,Partnership,2018.0,41869,"It's not user experience, it's user delight.

We're a UI/UX design  agency from India. At Lemon Yellow, we craft meaningful and valuable digital products & services that create a positive impact on people's lives.

We empower businesses by providing them with user-centric 360 degree design solutions.

What we offer:
- Experience Strategy
- Research
- UI/UX
- User-Centric Design
- Digital Marketing",,,,,,,,,designing,development,digital marketing,ux,user experience,user interface,design thinking,user centric design,strategy,design strategy,,,,,,,,,,,,,,
PURPLE,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Epurplepr%2Ecom%2F&urlhash=1uTm&trk=about_website,125.5,Public Relations and Communications Services,London,England,Privately Held,1997.0,93094,"Purple is independent in philosophy, attitude and operation –offering a boutique in-house approach, the strategic requirements of each client are individually tailored from the outset. 

Purple’s services cover press relations, editorial procurement, product placement and high profile event management.

A specialist knowledge of the beauty, fashion, lifestyle and entertainment industries gives unrivalled insight into brand positioning and sustaining meaningful press coverage.",,,,,,,,,public relations,fashion,beauty,lifestyle,travel,restaurants,digital,,,,,,,,,,,,,,,,,
FutureBrand,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Efuturebrand%2Ecom&urlhash=q8qs&trk=about_website,750.5,Advertising Services,London,England,Public Company,,203141,"We are the global brand-led strategy and design company. For more than 25 years, we have made businesses better through the rigour of brand strategy and the creativity of brand design. We believe that when you change the brand, you change the future—of business, of markets, and of cultures.",,,,,,,,,branding,design,marketing,consulting,packaging,brexperience,environments,digital,innovation,customer journeys,brstrategy,semiotics,naming,messaging,visual identity,engagement,brmanagement,brarchitecture,,,,,,
Adfactors PR,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Eadfactorspr%2Ecom%2F&urlhash=8hjA&trk=about_website,3000.5,Public Relations and Communications Services,Mumbai,Maharashtra_India,Privately Held,1997.0,85333,"Adfactors PR, founded in 1997, is India's largest Public Relations firm. A multi-specialist, full-service firm, we serve clients in over 25 industries across 40 cities in India. The clients include some of the largest corporations, conglomerates, financial institutions and trade bodies, as well as a host of bright, young start-ups and unicorns. We have a track-record of successfully delivering on complex and challenging PR briefs – often characterised by high stakes, urgency and a sense of uncertainty about the potential outcomes.

In 2020, PRovoke Media named Adfactors PR as one of the three PR Agency of the Decade in Asia-Pac and one of the seven Agency of the Decade globally. Adfactors PR is a member of PROI Worldwide, the largest global partnership of independent public relations firms.",,,,,,,,,public relations,social media,investor relations,crisis communications,technology communications,digital pr,,,,,,,,,,,,,,,,,,
The Glitch,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Etheglitch%2Ein&urlhash=RkFK&trk=about_website,125.5,Advertising Services,Mumbai,Maharashtra_India,Privately Held,2009.0,109089,"The Glitch was India’s leading creative agency headquartered in Mumbai, with offices in Delhi & Bangalore. Acquired by GroupM and WPP.",,,,,,,,,advertising,video production,digital strategy,web content,social media marketing,digital branding,technology,brstrategy,ecommerce,brstorytelling,digital marketing,,,,,,,,,,,,,
VML,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Evml%2Ecom&urlhash=nQvN&trk=about_website,10001.0,Advertising Services,New York,NY,Public Company,,965777,"VML is a global powerhouse born from the unification of Wunderman Thompson and VMLY&R — two of the world's most powerful and accomplished creative agencies with complementary capabilities and geographic strengths. We have an industry-unique opportunity to provide our client partners with a fully integrated offering across brand experience, customer experience and commerce practices — powered by deep data and technology experience. For more information, visit www.vml.com.",,,,,,,,,advisory,brexperience,bridentity,commerce,customer experience,data & insights,discoverability (organic/paid search),experiential marketing,government practice,health practice,inclusion experience,innovation,mobility,one-to-one email marketing,paid media,public relations,social media,strategic studios,technology,vault (production),,,,
Kin&Co,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ekinandco%2Ecom&urlhash=Avwv&trk=about_website,30.5,Business Consulting and Services,London,England,Privately Held,2016.0,0,"Kin&Co: The Culture Consultancy That Delivers Real Results

At Kin&Co, we don’t just talk about culture—we transform it. We help businesses build high-performing, purpose-driven workplaces where people thrive, innovation flourishes, and results speak for themselves.

What We Stand For
Work should work for everyone—your business, your employees, and the world. As a B Corp-certified culture consultancy, we’re committed to sustainability, diversity, and inclusion, helping organisations create resilient, people-first cultures that drive growth, retention, and long-term success.

Why Businesses Trust Us
We take a science-backed, disruptive, and results-driven approach to culture change. From FTSE 100 giants to high-growth start-ups, we’ve worked with industry leaders like BT, Grant Thornton, and LifeArc.

How We Make an Impact
Culture Transformation: Create a high-performing, values-driven culture that drives success.

Leadership Development: Empower leaders to inspire, engage, and lead with purpose.

Purpose Activation: Define and embed your organisation’s “why” to create lasting impact.

Why Choose Kin&Co?
We don’t do cookie-cutter solutions. We dig deep, challenge the status quo, and design culture strategies that stick. Our team of experts brings the energy, empathy, and expertise needed to tackle complex challenges—helping businesses unlock their full potential.

Looking for a culture that works? Let’s build it—together.",,,,,,,,,culture,organisational change,purpose,behaviour change,culture change,resilience,diversity inclusion,,,,,,,,,,,,,,,,,
